keyword,title,price,likes,views,brand,country,url,status,sold_confirmed,offers,published_at,age_hours,age_band,score,verdict
stanley bottle,Supreme Stanley 20 oz. Vacuum Insulated Bottle (FW19),60.0,34,0,Supreme,,https://www.vinted.fr/items/6893272519,active,False,0,2025-09-15 07:14:24 CEST,6480.0,old,0,⚠️ Low
stanley bottle,Water bottle holder,3.0,6,0,Source Unknown,,https://www.vinted.fr/items/6586955703,active,False,0,2025-07-17 07:14:26 CEST,7920.0,old,0,⚠️ Low
stanley bottle,Crochet water bottle holder mint blue,10.0,0,0,Handarbeit,,https://www.vinted.fr/items/6764785077,active,False,0,2025-08-16 07:14:32 CEST,7200.0,old,0,⚠️ Low
stanley bottle,Crochet bottle holder bag colorful orange and purple,15.0,2,0,Handarbeit,,https://www.vinted.fr/items/6764798024,active,False,0,2025-08-16 07:14:36 CEST,7200.0,old,0,⚠️ Low
stanley bottle,stanley cup bag Water Bottle Pouch Holder Cover,7.0,7,0,,,https://www.vinted.fr/items/6431630768,active,False,0,,24.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley purple (new),46.0,26,0,stanley cup,,https://www.vinted.fr/items/4357279330,active,False,0,,24.0,24h,3,👀 Early Watchlist
stanley bottle,Crochet water bottle holder bag neon black,15.0,2,0,Handarbeit,,https://www.vinted.fr/items/6750665768,active,False,0,2025-08-16 07:14:47 CEST,7200.0,old,0,⚠️ Low
stanley bottle,stanley type bottle modo,30.0,3,0,Modo,,https://www.vinted.fr/items/6195219716,active,False,0,2025-05-18 07:14:50 CEST,9360.0,old,0,⚠️ Low
stanley bottle,Thermo Cup,10.0,1,0,,,https://www.vinted.fr/items/6672308878,active,False,0,2025-08-16 07:14:55 CEST,7200.0,old,0,⚠️ Low
stanley bottle,Stanley (new) orchid purple,45.0,73,0,stanley cup,,https://www.vinted.fr/items/4357155722,active,False,0,2025-04-21 16:15:00 CEST,9999,old,0,⚠️ Low
stanley bottle,Crochet bottle holder grey and green,10.0,2,0,Handarbeit,,https://www.vinted.fr/items/6733690181,active,False,0,2025-08-16 07:15:01 CEST,7200.0,old,0,⚠️ Low
stanley bottle,Bottle Fast Flow 24 OZ Botella clearly filtered acero,38.0,1,0,Acero,,https://www.vinted.fr/items/6357390139,active,False,0,2025-06-17 07:15:08 CEST,8640.0,old,0,⚠️ Low
